trial,condition,object_name,estimated_width_m,estimated_height_m,gt_width_m,gt_height_m,width_error_m,height_error_m,decision,gt_decision,correct,timestamp
2,baseline,obj_cereal_box,0.1412,0.2223,0.08,0.23,0.0612,0.0077,SKIP,SKIP,True,2026-07-13T14:31:19.129446
4,baseline,obj_cereal_box,0.7641,1.7056,0.08,0.23,0.6841,1.4756,SKIP,SKIP,True,2026-07-13T14:31:43.835344
6,baseline,obj_cereal_box,0.7641,1.7056,0.08,0.23,0.6841,1.4756,SKIP,SKIP,True,2026-07-13T14:31:59.887050
7,baseline,obj_cereal_box,0.2822,0.3269,0.08,0.23,0.2022,0.0969,SKIP,SKIP,True,2026-07-13T14:32:08.251533
10,baseline,obj_cereal_box,0.2822,0.3269,0.08,0.23,0.2022,0.0969,SKIP,SKIP,True,2026-07-13T14:32:42.410821
12,baseline,obj_cereal_box,0.1867,0.2922,0.08,0.23,0.1067,0.0622,SKIP,SKIP,True,2026-07-13T14:33:00.017432
13,baseline,obj_cereal_box,0.1412,0.2223,0.08,0.23,0.0612,0.0077,SKIP,SKIP,True,2026-07-13T14:33:08.316305
15,baseline,obj_cereal_box,0.2822,0.3269,0.08,0.23,0.2022,0.0969,SKIP,SKIP,True,2026-07-13T14:33:34.519387
16,baseline,obj_cereal_box,0.2822,0.3269,0.08,0.23,0.2022,0.0969,SKIP,SKIP,True,2026-07-13T14:33:43.377812
17,baseline,obj_cereal_box,0.7641,1.7056,0.08,0.23,0.6841,1.4756,SKIP,SKIP,True,2026-07-13T14:33:51.955051
19,baseline,obj_cereal_box,0.2822,0.3269,0.08,0.23,0.2022,0.0969,SKIP,SKIP,True,2026-07-13T14:34:09.696859
20,baseline,obj_cereal_box,0.1867,0.2922,0.08,0.23,0.1067,0.0622,SKIP,SKIP,True,2026-07-13T14:34:18.235496
1,baseline,obj_bottle,0.081,0.3477,0.07,0.22,0.011,0.1277,SKIP,SKIP,True,2026-07-13T14:34:34.434464
2,baseline,obj_bottle,0.0989,0.1638,0.07,0.22,0.0289,0.0562,SKIP,SKIP,True,2026-07-13T14:34:43.055471
3,baseline,obj_bottle,0.081,0.3477,0.07,0.22,0.011,0.1277,SKIP,SKIP,True,2026-07-13T14:34:51.488110
5,baseline,obj_bottle,0.2489,1.6005,0.07,0.22,0.1789,1.3805,SKIP,SKIP,True,2026-07-13T14:35:16.058353
6,baseline,obj_bottle,0.2489,1.6005,0.07,0.22,0.1789,1.3805,SKIP,SKIP,True,2026-07-13T14:35:24.133362
7,baseline,obj_bottle,0.0989,0.1638,0.07,0.22,0.0289,0.0562,SKIP,SKIP,True,2026-07-13T14:35:32.379166
9,baseline,obj_bottle,0.2489,1.6005,0.07,0.22,0.1789,1.3805,SKIP,SKIP,True,2026-07-13T14:35:49.975036
10,baseline,obj_bottle,0.2187,0.6058,0.07,0.22,0.1487,0.3858,SKIP,SKIP,True,2026-07-13T14:35:58.555113
12,baseline,obj_bottle,0.0989,0.1638,0.07,0.22,0.0289,0.0562,SKIP,SKIP,True,2026-07-13T14:36:22.669227
15,baseline,obj_bottle,0.0989,0.1638,0.07,0.22,0.0289,0.0562,SKIP,SKIP,True,2026-07-13T14:36:56.293631
17,baseline,obj_bottle,0.2489,1.6005,0.07,0.22,0.1789,1.3805,SKIP,SKIP,True,2026-07-13T14:37:12.118953
19,baseline,obj_bottle,0.2187,0.6058,0.07,0.22,0.1487,0.3858,SKIP,SKIP,True,2026-07-13T14:37:28.630058
2,baseline,obj_jar,0.037,0.2886,0.08,0.11,0.043,0.1786,SKIP,SKIP,True,2026-07-13T14:38:27.197225
3,baseline,obj_jar,0.0483,0.2383,0.08,0.11,0.0317,0.1283,SKIP,SKIP,True,2026-07-13T14:38:35.179096
