world_id,object,authored_x,authored_y,authored_z,settled_x,settled_y,settled_z,position_delta_m,orientation_delta_deg,flagged
world3_thin_objects,obj_bottle,0.0,-0.46,0.86,1.6291999659787328e-06,-0.45976439946164604,0.8599997311468821,0.0002356063247181853,2.1121193543184324e-05,False
world3_thin_objects,obj_cable,0.0,0.0,0.0,-0.03149637972493738,-0.8286080239123849,-0.22516718819396458,0.8592342764735011,50.89330474569687,True
world3_thin_objects,obj_chopstick_a,-0.34,-0.36,0.773,-0.3400000037678224,-0.360000009691411,0.772999992866763,1.2609639287628203e-08,0.00019857534321757867,False
world3_thin_objects,obj_chopstick_b,-0.3512,-0.3557,0.773,-0.3512000037678224,-0.355700009691411,0.772999992866763,1.2609639287628203e-08,0.00019856065949343263,False
world3_thin_objects,obj_fork,-0.24,-0.62,0.7725,-0.24000688201214004,-0.619965400099782,0.7742152784581096,0.001715641193268865,1.0500495664922216,False
world3_thin_objects,obj_knife,-0.1,-0.36,0.7725,-0.1,-0.36,0.7724999999752521,2.4747870419616902e-11,0.0,False
world3_thin_objects,obj_mug,0.32,-0.7,0.815,0.32,-0.7,0.814999999987727,1.2272960425718793e-11,0.0,False
world3_thin_objects,obj_notebook,0.2,-0.33,0.775,0.19999999999756282,-0.32999999995878443,0.7749994250848928,5.749151086701926e-07,0.0,False
world3_thin_objects,obj_pen,0.2,-0.31,0.785,0.19999998301233113,-0.3100000051707266,0.7849994143282772,5.859408538230587e-07,0.00020371404179162495,False
world3_thin_objects,obj_pencil,0.38,-0.35,0.7745,0.37999999997112327,-0.35000000016742383,0.774499999906316,1.9401364535340704e-10,2.4148365394514667e-06,False
world3_thin_objects,obj_plate,0.0,-0.62,0.7775,-0.001697154446536094,-0.6052351591481018,0.7853213807346564,0.016794488833951886,6.7606585499110485,False
world3_thin_objects,obj_ruler,-0.2,-0.7,0.7715,-0.1999999973766311,-0.6999999915451484,0.7714997545414382,2.4561814294863167e-07,2.882671608939301e-05,False
world3_thin_objects,obj_spoon,-0.09,-0.35,0.778,-0.09000000049054861,-0.3499999990488316,0.7779994196170885,5.803838982344385e-07,1.3115919625095422e-05,False
world3_thin_objects,obj_straw,-0.34,-0.55,0.774,-0.34000000705566474,-0.5500000109885471,0.773999992735501,1.4943343573093165e-08,0.0001870446400083981,False
world3_thin_objects,obj_toothbrush,0.19,-0.7,0.774,0.19,-0.7,0.7739994275262528,5.724737471846097e-07,0.0,False
